#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
g9621.t1	AT5G66060.1	286	290	100	100	290	92.759	555
g9625.t2	AT5G66160.1	317	311	96	94	292	77.597	458
g9626.t1	AT5G66170.2	166	139	83	100	141	78.723	218
g9627.t1	AT5G66240.2	321	332	95	92	305	90.492	582
g9629.t1	AT5G66290.2	213	299	87	62	188	83.511	304
g9631.t1	AT5G66500.1	600	533	89	100	536	78.918	827
g9632.t1	AT5G66520.1	567	621	99	99	618	70.465	860
g9633.t1	AT5G66560.1	605	669	100	100	673	75.334	983
g9634.t1	AT5G66600.9	582	615	98	93	575	79.623	897
g19755.t1	ATCG00420.1	186	159	53	62	98	97.959	207
g8043.t1	ATMG00830.1	272	383	71	51	194	98.969	394
g8153.t1	ATMG01090.1	223	263	100	78	224	75.000	323
g20172.t1	ATMG00520.1	652	673	100	97	652	97.699	1296
g48730.t1	ATMG00070.1	225	191	85	100	191	98.429	390
g48800.t1	ATMG00640.1	268	193	71	98	190	96.316	372
g48611.t1	ATMG01360.1	452	528	100	86	452	100.000	897
g48616.t1	ATMG00090.1	653	557	60	70	392	93.622	682
g48639.t1	AT2G07621.1	127	116	63	79	92	83.696	153
