gene	outname	scaff	start	end	win_size	num_sites	num_snps	Rho	FstWC	dxy	AFD	FixedDiff	FstH	FstN	MAV_count
g7445	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35104000	35105000	1000	69	41	0.491627273	0.919713003	0.224660397	0.193675889	13	0.934662741	0.878342687	9
g7445	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35105000	35106000	1000	86	48	0.485473458	0.924821377	0.241424874	0.183030182	11	0.912268161	0.84066536	9
g7445	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35106000	35107000	1000	71	46	0.482950428	0.880141539	0.187375822	0.068242527	6	0.878884974	0.786189119	9
g7445	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35103000	35104000	1000	75	56	0.478700635	0.872303037	0.257565308	0.061504702	7	0.854738685	0.749235762	9
g7445	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35102000	35103000	1000	67	44	0.473059095	0.838034059	0.157675572	-0.022850091	0	0.832193418	0.715578692	9
g31016	UK_dips_Vs_tets_15	Cexcelsa_scaf_3	1112000	1113000	1000	34	19	0.474288424	0.740456793	0.172598193	0.168898672	0	0.797821724	0.665660239	15
g31016	UK_dips_Vs_tets_15	Cexcelsa_scaf_3	1116000	1117000	1000	77	58	0.455051743	0.686158965	0.213524916	0.202542951	0	0.753095747	0.606249933	15
g7445	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35108000	35109000	1000	78	53	0.463678051	0.762500019	0.155481372	0.103420645	0	0.735340025	0.585777878	9
g7446	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35108000	35109000	1000	78	53	0.463678051	0.762500019	0.155481372	0.103420645	0	0.735340025	0.585777878	1
g23700	UK_dips_Vs_tets_15	Cexcelsa_scaf_5	4153000	4154000	1000	120	75	0.317833145	0.269295628	0.090804598	0.05154454	0	0.319001459	0.194035685	0
g7443	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	35097000	35098000	1000	97	73	0.342399408	0.306454515	0.122137883	-0.027429467	0	0.318946482	0.195017857	0
g17557	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	42161000	42162000	1000	114	70	0.337347108	0.281426003	0.114303195	-0.008436795	0	0.318866679	0.194276189	0
g33479	UK_dips_Vs_tets_15	Cexcelsa_scaf_3	12575000	12576000	1000	157	80	0.318312018	0.274183257	0.036665385	-0.007871933	0	0.318769904	0.194030512	0
g25338	UK_dips_Vs_tets_15	Cexcelsa_scaf_5	11774000	11775000	1000	64	50	0.328178945	0.287521996	0.152316198	0.099796116	0	0.318581529	0.19428807	7
g40212	UK_dips_Vs_tets_15	Cexcelsa_scaf_2	3819000	3820000	1000	95	63	0.323856646	0.308905726	0.114987213	-0.032492575	0	0.318578694	0.194858156	0
g40213	UK_dips_Vs_tets_15	Cexcelsa_scaf_2	3819000	3820000	1000	95	63	0.323856646	0.308905726	0.114987213	-0.032492575	0	0.318578694	0.194858156	2
g12144	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	11089000	11090000	1000	111	54	0.352247035	0.297265672	0.048820568	-0.024165819	0	0.318546908	0.19448517	0
g2478	UK_dips_Vs_tets_15	Cexcelsa_scaf_4	10180000	10181000	1000	67	42	0.317307739	0.290372059	0.093321597	0.01780576	0	0.318464522	0.194311273	0
