outname	scaff	start	end	win_size	num_sites	num_snps	Rho	FstWC	dxy	AFD	FstH	FstN							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	12000	13000	1000	64	52	0.060780035	0.036116291	0.036	0.017	0.06	0.035202904							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	15000	16000	1000	71	53	0.029774783	0.011963048	0.045	0.009	0.02	0.01622254							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	16000	17000	1000	115	105	0.022937013	0.007542637	0.050	0.006	0.01	0.012775464							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	21000	22000	1000	96	71	0.06949399	0.032928884	0.047	0.010	0.04	0.025856075							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	22000	23000	1000	92	73	0.084169156	0.044403116	0.033	-0.006	0.04	0.028284452							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	28000	29000	1000	21	17	0.078842056	0.053551072	0.042	-0.002	0.07	0.039622906							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	29000	30000	1000	19	18	-0.01082159	-0.009785894	0.072	0.006	0.00	0.004923296							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	30000	31000	1000	34	28	0.13105734	0.103923326	0.052	0.027	0.14	0.078214373							
UK_dips_Vs_tets_15	Cexcelsa_scaf_1	32000	33000	1000	71	52	0.047831895	0.029573689	0.032	0.011	0.05	0.029401819							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25833000	25834000	1000	25	17	0.106739923	0.052922023	0.025	0.001	0.06	0.035199182							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25834000	25835000	1000	65	45	0.243656618	0.243533083	0.054	0.054	0.35	0.215702488							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25835000	25836000	1000	36	19	0.240290721	0.26537661	0.054	0.035	0.33	0.200779428							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25842000	25843000	1000	33	19	0.300678036	0.432645862	0.085	-0.037	0.37	0.231655141							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25843000	25844000	1000	53	30	0.231851842	0.230129901	0.055	0.039	0.31	0.184048064							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25844000	25845000	1000	82	63	0.235017703	0.164309441	0.079	0.040	0.20	0.116008263							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25845000	25846000	1000	68	49	0.375199345	0.461976712	0.100	0.076	0.53	0.362583846							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25846000	25847000	1000	35	28	0.119897653	0.09907444	0.096	0.021	0.12	0.067264285							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25847000	25848000	1000	39	29	0.179717441	0.160152569	0.076	0.073	0.25	0.143531191							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25848000	25849000	1000	117	100	0.369822973	0.354408928	0.040	0.038	0.46	0.303222407							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25849000	25850000	1000	103	79	0.399665211	0.52521246	0.117	0.113	0.62	0.453624194							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25850000	25851000	1000	24	17	0.020404549	0.019041872	0.060	-0.008	0.03	0.02156412							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25876000	25877000	1000	16	16	0.008707193	0.001072392	0.012	0.001	0.00	0.007285745							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25879000	25880000	1000	17	17	0.039878257	0.020766084	0.025	0.011	0.04	0.025991172							
UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25912000	25913000	1000	27	26	0.041925916	0.03064612	0.146	0.069	0.06	0.033818556							
UK_dips_Vs_tets_15	Genome	-9	-9	1000	18061596	13277568	0.127150209	0.079800884	0.062	0.006	0.09	0.052785379							
									dxy	AFD	Fst								
									0.062	0.006	0.085	genome-wide							
									0.070	0.028	0.293	"between chr6:5,890,246 to 6,137,500"			~250kb				
																			
