gene	outname	scaff	start	end	win_size	num_sites	num_snps	Rho	FstWC	dxy	AFD	FixedDiff	FstH	FstN
g9616	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	15000.0	16000.0	1000.0	71	53	0.029774783309768904	0.011963048188608702	0.04497814473045167	0.008703254006799417	0	0.022115676159256036	0.016222539526765525
g9617	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	16000.0	17000.0	1000.0	115	105	0.022937013069819084	0.007542637240105889	0.05003521708533483	0.006289902242756179	0	0.014954615159562626	0.01277546408340821
g9616	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	16000.0	17000.0	1000.0	115	105	0.022937013069819084	0.007542637240105889	0.05003521708533483	0.006289902242756179	0	0.014954615159562626	0.01277546408340821
g9619	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	28000.0	29000.0	1000.0	21	17	0.07884205595204571	0.05355107243709226	0.042077175697865364	-0.0016420361247947472	0	0.06644961220307785	0.03962290560140077
g9619	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	29000.0	30000.0	1000.0	19	18	-0.010821590397555161	-0.009785894000811843	0.07166061705989112	0.006333938294010889	0	-0.000813379338235713	0.004923296123662615
g9620	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	38000.0	39000.0	1000.0	112	81	0.1735175992659553	0.11009067567871077	0.04285560344827582	0.017732450738916248	0	0.1337802501535757	0.07636290594412988
g9620	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	39000.0	40000.0	1000.0	63	43	0.1826971219496108	0.11449126597136466	0.06386152162014229	0.03336891078270388	0	0.1394623019805081	0.07957584649275866
g9621	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	40000.0	41000.0	1000.0	108	73	0.11251069826636875	0.058879036434256134	0.04463122605363982	0.017638888888888874	0	0.07563865908593889	0.04402131622876258
g9621	UK_dips_Vs_tets_15	Cexcelsa_scaf_1	41000.0	42000.0	1000.0	52	25	0.2824231083154145	0.2416652932767791	0.03740716180371352	0.02062002652519894	0	0.24459827165259934	0.14483653757052348
g54385	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25826000.0	25827000.0	1000.0	79	64	0.2702880113539574	0.2042435449373472	0.10021169794849406	0.04518987341772151	0	0.24709151017673156	0.14519316638248164
g54385	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25827000.0	25828000.0	1000.0	101	81	0.3433124291244245	0.2778219418057045	0.16204335950836457	0.12822465005121195	0	0.34766123238716456	0.21388208039499126
g54385	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25828000.0	25829000.0	1000.0	85	71	0.2897411034511228	0.24167016647138959	0.16826191166121623	0.09186682949041688	0	0.29534816451327117	0.17725074801767723
g54385	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25829000.0	25830000.0	1000.0	58	36	0.226069412890062	0.23437940805011756	0.14155666844621326	0.05734160013589264	0	0.28718131325368973	0.1718827779382379
g54386	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25842000.0	25843000.0	1000.0	33	19	0.30067803620820976	0.4326458615919713	0.0847216002388416	-0.03731303179579044	0	0.3672783220544702	0.23165514125989295
g54386	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25843000.0	25844000.0	1000.0	53	30	0.23185184208339343	0.23012990106005382	0.05543591411841249	0.03857514638906961	0	0.30596114624434956	0.18404806412517705
g54387	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25843000.0	25844000.0	1000.0	53	30	0.23185184208339343	0.23012990106005382	0.05543591411841249	0.03857514638906961	0	0.30596114624434956	0.18404806412517705
g54387	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25844000.0	25845000.0	1000.0	82	63	0.23501770314365275	0.16430944069527553	0.07876787216148022	0.03975820016820857	0	0.20093309117287173	0.11600826325308934
g54387	UK_dips_Vs_tets_15	Cexcelsa_scaf_6	25845000.0	25846000.0	1000.0	68	49	0.37519934494274765	0.4619767116856995	0.1001306912851347	0.07555663213561281	0	0.5283707268115722	0.36258384593369014
